,title,abstract,affiliations,authors,journal,date,keywords,url
10,The molecular clock and evolutionary timescales,"The molecular clock provides a valuable means of estimating evolutionary timescales from genetic and biochemical data. Proposed in the early 1960s, it was first applied to amino acid sequences and immunological measures of genetic distances between species. The molecular clock has undergone considerable development over the years, and it retains profound relevance in the genomic era. In this mini-review, we describe the history of the molecular clock, its impact on evolutionary theory, the challenges brought by evidence of evolutionary rate variation among species, and the statistical models that have been developed to account for these heterogeneous rates of genetic change. We explain how the molecular clock can be used to infer rates and timescales of evolution, and we list some of the key findings that have been obtained when molecular clocks have been applied to genomic data. Despite the numerous challenges that it has faced over the decades, the molecular clock continues to offer the most effective method of resolving the details of the evolutionary timescale of the Tree of Life.","['1 School of Life and Environmental Sciences, University of Sydney, Sydney, NSW 2006, Australia.', '2 Key Laboratory of Zoological Systematics and Evolution, Institute of Zoology, Chinese Academy of Sciences, Beijing 100101, China.', '3 School of Life and Environmental Sciences, University of Sydney, Sydney, NSW 2006, Australia simon.ho@sydney.edu.au.']","Arong Luo, Simon Y W Ho, ",Biochemical Society transactions,2018,Tree of Life; evolutionary rate; genomics; molecular dating; molecular evolution; timescale.,https://pubmed.ncbi.nlm.nih.gov/30154097
11,"Adaptation, speciation and extinction in the Anthropocene","Humans have dramatically altered the planet over the course of a century, from the acidity of our oceans to the fragmentation of our landscapes and the temperature of our climate. Species find themselves in novel environments, within communities assembled from never before encountered mixtures of invasives and natives. The speed with which the biotic and abiotic environment of species has changed has already altered the evolutionary trajectory of species, a trend that promises to escalate. In this article, I reflect upon this altered course of evolution. Human activities have reshaped selection pressures, favouring individuals that better survive in our built landscapes, that avoid our hunting and fishing, and that best tolerate the species that we have introduced. Human-altered selection pressures have also modified how organisms live and move through the landscape, and even the nature of reproduction and genome structure. Humans are also shaping selection pressures at the species level, and I discuss how species traits are affecting both extinction and speciation rates in the Anthropocene.","['1 Department of Zoology, Biodiversity Research Centre, University of British Columbia, Vancouver, British Columbia, Canada V6T 1Z4 otto@zoology.ubc.ca.']","Sarah P Otto, ",Proceedings. Biological sciences,2018,Anthropocene; anthropogenic; evolution; extinction; selection.,https://pubmed.ncbi.nlm.nih.gov/30429309
12,"Richard Dickerson, Molecular Clocks, and Rates of Protein Evolution","Proteins approximately behave as molecular clocks, accumulating amino acid replacements at a more or less constant rate. Nonetheless, each protein displays a characteristic rate of evolution: whereas some proteins remain largely unaltered over large periods of time, others can rapidly accumulate amino acid replacements. An article by Richard Dickerson, published in the first issue of the Journal of Molecular Evolution (J Mol Evol 1:26-45, 1971), described the first analysis in which the rates of evolution of many proteins were compared, and the differences were interpreted in the light of their function. When comparing the sequences of fibrinopeptides, hemoglobin, and cytochrome c of different species, he observed a linear relationship between the number of amino acid replacements and divergence time. Remarkably, fibrinopeptides had evolved fast, cytochrome c had evolved slowly, and hemoglobin exhibited an intermediate rate of evolution. As the Journal of Molecular Evolution celebrates its 50th anniversary, I highlight this landmark article and reflect on its impact on the field of Molecular Evolution.","['1 Department of Biology, University of Nevada, Reno, 1664 N. Virginia Street, Reno, NV, 89557, USA. dap@unr.edu.']","David Alvarez-Ponce, ",Journal of molecular evolution,NO_DATE,Evolutionary rate; Molecular clock; Richard Dickerson.,https://pubmed.ncbi.nlm.nih.gov/33205299
13,"Burnout Assessment Tool (BAT)-Development, Validity, and Reliability","This paper introduces a new definition for burnout and investigates the psychometric properties of the Burnout Assessment Tool (BAT). In a prior qualitative study, 49 practitioners were interviewed about their conceptualization of burnout (part 1). Using a dialectical approach, four core dimensions-exhaustion, mental distance, and impaired emotional and cognitive impairment-and three secondary dimensions-depressed mood, psychological distress, and psychosomatic complaints-emerged, which constitute the basis of the BAT. In the second study, the psychometric characteristics of the BAT were investigated in a representative sample of 1500 Flemish employees, focusing on factorial validity, reliability, and construct validity, respectively. Results demonstrate the assumed four-factor structure for the core dimensions, which is best represented by one general burnout factor. Contrary to expectations, instead of a three-factor structure, a two-factor structure was found for the secondary dimensions. Furthermore, the BAT and its subscales show adequate reliability. Convergent validity and discriminant validity with other burnout measures-including the MBI and OLBI-was demonstrated, as well as discriminant validity with other well-being constructs, such as work engagement and workaholism.","['1 Research Group Work, Organizational and Personnel Psychology (WOPP), O2L, KU Leuven, 3000 Leuven, Belgium.', '2 Department of Social and Organizational Psychology, Utrecht University, 3584 CS Utrecht, The Netherlands.', '3 Optentia Research Focus Area, North-West University, Vanderbijlpark 1900, South Africa.']","Wilmar B Schaufeli, Steffie Desart, Hans De Witte, ",International journal of environmental research and public health,2020,Burnout Assessment Tool (BAT); burnout; conceptualization; scale development; validation.,https://pubmed.ncbi.nlm.nih.gov/33352940
14,Innate immune evasion by SARS-CoV-2: Comparison with SARS-CoV,"SARS-CoV-2 virus, a member of the Coronaviridae family, causes Covid-19 pandemic disease with severe respiratory illness. Multiple strategies enable SARS-CoV-2 to eventually overcome antiviral innate immune mechanisms which are important components of viral pathogenesis. This review considers several mechanisms of SARS-CoV-2 innate immune evasion including suppression of IFN-α/β production at the earliest stage of infection, mechanisms that exhaust natural killer cell-mediated cytotoxicity, overstimulation of NLRP3 inflammasome and induction of a cytokine storm. A comparison with SARS-CoV is made. Greater knowledge of these and other immune evasion tactics may provide us with improved possibilities for research into this novel deadly virus.","['1 Laboratory of Immunohematology and Cellular Therapy, Faculty of Medicine and Pharmacy, Mohammed First University, Oujda, Morocco.', '2 Laboratory of Immunology, Mohammed VI Hospital, Oujda, Morocco.']","Abdellatif Bouayad, ",Reviews in medical virology,NO_DATE,IFN-α/β; NLRP3 inflammasome; SARS-CoV-2; coronaviruses; immune evasion; innate immunity.,https://pubmed.ncbi.nlm.nih.gov/32734714
15,Ancel (2000) on the Baldwin effect,NO_ABSTRACT,"['1 Department of Biology, University of Pennsylvania, United States of America. Electronic address: jplotkin@sas.upenn.edu.']","Joshua B Plotkin, ",Theoretical population biology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31562843
16,"Lyssaviruses in Insectivorous Bats, South Africa, 2003-2018","We detected 3 lyssaviruses in insectivorous bats sampled in South Africa during 2003-2018. We used phylogenetic analysis to identify Duvenhage lyssavirus and a potentially new lyssavirus, provisionally named Matlo bat lyssavirus, that is related to West Caucasian bat virus. These new detections highlight that much about lyssaviruses remains unknown.",NO_AFFILIATIONS,"Jessica Coertse, Colyn S Grobler, Claude T Sabeta, Ernest C J Seamark, Teresa Kearney, Janusz T Paweska, Wanda Markotter, ",Emerging infectious diseases,NO_DATE,Duvenhage virus; Matlo bat lyssavirus; South Africa; West Caucasian bat virus; bats; encephalitis; insectivorous bats; lyssaviruses; rabies; surveillance; viral zoonoses; viruses; zoonoses.,https://pubmed.ncbi.nlm.nih.gov/33219800
17,Viral strategies for triggering and manipulating mitophagy,"Viral infection causes many physiological alterations in the host cell, and many of these alterations can affect the host mitochondrial network, including mitophagy induction. A substantial amount of literature has been generated that advances our understanding of the relationship between mitophagy and several viruses. Some viruses trigger mitophagy directly, and indirectly and control the mitophagic process via different strategies. This enables viruses to promote persistent infection and attenuate the innate immune responses. In this review, we discuss the events of virus-regulated mitophagy and the functional relevance of mitophagy in the pathogenesis of viral infection and disease. Abbreviation: ATG: autophagy related; BCL2L13: BCL2 like 13; BNIP3L/NIX: BCL2 interacting protein 3 like; CL: cardiolipin; CSFV: classical swine fever virus; CVB: coxsackievirus B; DENV: dengue virus; DNM1L: dynamin 1 like; FIS1: fission, mitochondrial 1; FUNDC1: FUN14 domain containing 1; HPIV3: human parainfluenza virus 3; HSV-1: herpes simplex virus type 1; IMM: inner mitochondrial membrane; IAV: influenza A virus; IFN: interferon; IKBKE/IKKε: inhibitor of nuclear factor kappa B kinase subunit epsilon; LUBAC: linear ubiquitin assembly complex; MAP1LC3/LC3: microtubule associated protein 1 light chain 3; MeV: measles virus; MAVS: mitochondrial antiviral signaling protein; MFF: mitochondria fission factor; NLRP3: NLR family pyrin domain containing 3; NDV: Newcastle disease virus; NR4A1: nuclear receptor subfamily 4 group A member 1; OMM: outer mitochondrial membrane; OPA1: OPA1, mitochondrial dynamin like GTPase; PRKN: parkin RBR E3 ubiquitin protein ligase; PINK1: PTEN induced putative kinase 1; PHB2: prohibitin 2; PRRSV: porcine reproductive and respiratory syndrome virus; PRRs: pattern-recognition receptors; RLRs: RIG-I-like receptors; ROS: reactive oxygen species; RIPK2: receptor interacting serine/threonine kinase 2; SESN2: sestrin 2; SNAP29: synaptosome associated protein 29; STX17: syntaxin 17; TGEV: transmissible gastroenteritis virus; TUFM: Tu translation elongation factor, mitochondrial; TRAF2: TNF receptor associated factor 2; TRIM6: tripartite motif containing 6; Ub: ubiquitin; ULK1: unc-51 like autophagy activating kinase 1; VZV: varicella-zoster virus.","['1 a State Key Laboratory of Virology and Modern Virology Research Center, College of Life Sciences , Wuhan University , Wuhan , China.']","Linliang Zhang, Yali Qin, Mingzhou Chen, ",Autophagy,NO_DATE,Disease; innate immunity; mitophagy; pathogenesis; virus.,https://pubmed.ncbi.nlm.nih.gov/29895192
18,Postprandial Oxidative Metabolism of Human Brown Fat Indicates Thermogenesis,"Human studies suggest that a meal elevates glucose uptake in brown adipose tissue (BAT). However, in postprandial state the thermogenic activity and the metabolism of non-esterified fatty acids (NEFAs) in BAT remain unclear. Using indirect calorimetry combined with positron emission tomography and computed tomography (PET/CT), we showed that whole-body and BAT thermogenesis (oxygen consumption) increases after the ingestion of a mixed carbohydrate-rich meal, to the same extent as in cold stress. Postprandial NEFA uptake into BAT is minimal, possibly due to elevated plasma insulin inhibiting lipolysis. However, the variation in postprandial NEFA uptake is linked to BAT thermogenesis. We identified several genes participating in lipid metabolism to be expressed at higher levels in BAT compared with white fat in postprandial state, and to be positively correlated with BAT UCP1 expression. These findings suggest that substrates preferred by BAT in postprandial state are glucose or LPL-released NEFAs due to insulin stimulation.","['1 Turku PET Centre, Turku University Hospital, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Turku PET Centre, University of Turku, Kiinamyllynkatu 4-8, 20520 Turku, Finland.', '2 Department of Medical Physics, Faculty of Medicine, Kagawa University, Takamatsu, Kagawa, Japan.', '3 Chair of Molecular Nutritional Medicine, Else Kröner-Fresenius Center, Technical University of Munich, 85354 Freising, Germany.', ""4 University Côte d'Azur, CNRS, Inserm, iBV, Nice, France."", '5 Chair of Molecular Nutritional Medicine, Else Kröner-Fresenius Center, Technical University of Munich, 85354 Freising, Germany; ZIEL - Institute for Food and Health, Technical University of Munich, 85354 Freising, Germany.', '6 Turku PET Centre, Turku University Hospital, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Turku PET Centre, University of Turku, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Department of Chemistry, University of Turku, Turku, Finland; Accelerator Laboratory, Åbo Akademi University, Turku, Finland.', '7 Turku PET Centre, Turku University Hospital, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Turku PET Centre, University of Turku, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Department of Endocrinology, Turku University Hospital, Turku, Finland.', '8 Turku PET Centre, Turku University Hospital, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Turku PET Centre, University of Turku, Kiinamyllynkatu 4-8, 20520 Turku, Finland; Institute of Public Health and Clinical Nutrition, University of Eastern Finland (UEF), Kuopio, Finland. Electronic address: kirsi.virtanen@utu.fi.']","Mueez U Din, Teemu Saari, Juho Raiko, Nobu Kudomi, Stefanie F Maurer, Minna Lahesmaa, Tobias Fromme, Ez-Zoubir Amri, Martin Klingenspor, Olof Solin, Pirjo Nuutila, Kirsi A Virtanen, ",Cell metabolism,2018,brown fat; human; meal-induced thermogenesis; oxidative metabolism; positron emission tomography; postprandial metabolism.,https://pubmed.ncbi.nlm.nih.gov/29909972
19,Insect-specific virus evolution and potential effects on vector competence,"The advancement in high-throughput sequencing technology and bioinformatics tools has spurred a new age of viral discovery. Arthropods is the largest group of animals and has shown to be a major reservoir of different viruses, including a group known as insect-specific viruses (ISVs). The majority of known ISVs have been isolated from mosquitoes and shown to belong to viral families associated with animal arbovirus pathogens, such as Flaviviridae, Togaviridae and Phenuiviridae. These insect-specific viruses have a strict tropism and are unable to replicate in vertebrate cells, these properties are interesting for many reasons. One is that these viruses could potentially be utilised as biocontrol agents using a similar strategy as for Wolbachia. Mosquitoes infected with the viral agent could have inferior vectorial capacity of arboviruses resulting in a decrease of circulating arboviruses of public health importance. Moreover, insect-specific viruses are thought to be ancestral to arboviruses and could be used to study the evolution of the switch from single-host to dual-host. In this review, we discuss new discoveries and hypothesis in the field of arboviruses and insect-specific viruses.","['1 Section of Virology, Department of Biomedical Sciences and Veterinary Public Health, Swedish University of Agricultural Sciences, Box 7028, 750 07, Uppsala, Sweden.', '2 Section of Virology, Department of Biomedical Sciences and Veterinary Public Health, Swedish University of Agricultural Sciences, Box 7028, 750 07, Uppsala, Sweden. anne-lie.blomstrom@slu.se.']","Pontus Öhlund, Hanna Lundén, Anne-Lie Blomström, ",Virus genes,NO_DATE,Arbovirus; Evolution; Insect-specific virus; Vector competence.,https://pubmed.ncbi.nlm.nih.gov/30632016
20,Virus Maturation,"A virus particle consists of a genome contained within a protein shell. This shell (the capsid) plays multiple roles throughout the infectious cycle, from genome protection to host recognition to successful genome delivery. When capsids first assemble in the cell, most often an initial product is obtained that has not achieved its fully infectious form. To do so, it must undergo a final process called maturation. Virus maturation entails conformational and stability changes. These changes are often driven by proteolytic cleavages, and their main purpose is to ensure successful delivery of the virus genome to a new host cell. Recent advances in molecular, structural, and physical virology techniques are providing a wealth of detailed information and new points of view to understand the principles of virus maturation. Evidence showing that viral capsids are built with a limited set of structural solutions has prompted a new virus classification in structural lineages deriving from a few initial ancestors. This chapter summarizes the current knowledge on maturation for the main virus structural lineages, as well as for other relevant viruses not assigned to any particular lineage yet.","['1 Department of Macromolecular Structure, Centro Nacional de Biotecnología (CNB-CSIC), Madrid, Spain. carmen@cnb.csic.es.']","Carmen San Martín, ",Advances in experimental medicine and biology,NO_DATE,Capsid; Maturation; Scaffold; Stability; Uncoating; Virus assembly; Virus proteases; Virus structure.,https://pubmed.ncbi.nlm.nih.gov/31317499
21,Humoral Immune Response to SARS-CoV-2,"Objectives:
        
      
      Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) serology tests are clinically useful to document prior SARS-CoV-2 infections. Data are urgently needed to select assays with optimal sensitivity at acceptable specificity for antibody detection. Methods:
        
      
      A comparative evaluation was performed of 7 commercial SARS-CoV-2 serology assays on 171 sera from 135 subjects with polymerase chain reaction-confirmed SARS-CoV-2 infection (71 hospitalized patients and 64 paucisymptomatic individuals). Kinetics of IgA/IgM/IgG seroconversion to viral N and S protein epitopes were studied from 0 to 54 days after onset of symptoms. Cross-reactivity was verified on 57 prepandemic samples. Results:
        
      
      Wantai SARS-COV-2 Ab ELISA and Orient Gene COVID-19 IgG/IgM Rapid Test showed superior overall sensitivity for detection of SARS-CoV-2 antibodies. Elecsys Anti-SARS-CoV-2 assay and EUROIMMUN Anti-SARS-CoV-2 combined IgG/IgA showed acceptable sensitivity (>95%) vs the consensus result of all assays from 10 days post onset of symptoms. Wantai SARS-COV-2 Ab ELISA, Elecsys Anti-SARS-CoV-2 assay, and Innovita 2019-nCoV Ab rapid test showed least cross-reactivity, resulting in an optimal analytical specificity greater than 98%. Conclusions:
        
      
      Wantai SARS-COV-2 Ab ELISA and Elecsys Anti-SARS-CoV-2 assays are suitable for sensitive and specific detection of SARS-CoV-2 antibodies from 10 days after onset of symptoms.","['1 AZ Delta Medical Laboratories, AZ Delta General Hospital, Roeselare, Belgium.', '2 VUB Metabolomics Platform, Brussels Free University, Brussels, Belgium.', '3 Department of Biomolecular Medicine, Ghent University, Ghent, Belgium.']","Pauline H Herroelen, Geert A Martens, Dieter De Smet, Koen Swaerts, An-Sofie Decavele, ",American journal of clinical pathology,2020,Antibody; COVID-19; Coronavirus; Paucisymptomatic; SARS-CoV-2; Serology.,https://pubmed.ncbi.nlm.nih.gov/32808976
